Date,Description,Amount,Extended Details,Appears On Your Statement As,Address,City/State,Zip Code,Country,Reference,Category,Tags
02/14/2024,GglPay CafeETabacariRIO DE JANEIR,1.62,"00024021415 CIGAR STORE & STAND
GglPay CafeETabacaria
RIO DE JANEIR
CIGAR STORE & STANDForeign Spend Amount: 8.00 BRAZILIAN REAL Commission Amount:  Currency Exchange Rate: null",GglPay CafeETabacariRIO DE JANEIR,"AVENIDA NOSSA SENHORA DE COPACABANA 68
3 A BOX 1
RIO DE JANEIRO",,22050002,BRAZIL,'320240450585980258',Merchandise & Supplies-General Retail,coffee
02/14/2024,GglPay SUPERMARKET  SAO GONCALO,4.25,"GROCERY STORE
GglPay SUPERMARKET
SAO GONCALO
GROCERY STOREForeign Spend Amount: 21.06 BRAZILIAN REAL Commission Amount:  Currency Exchange Rate: null",GglPay SUPERMARKET  SAO GONCALO,"""R BARATA RIBEIRO,502""
Nenhum
RIO DE JANEIRO",,22040002,BRAZIL,'320240450582340704',Merchandise & Supplies-Groceries,grocery
02/14/2024,SP+AFF* ANY MEANS NESAN FRANCISCO       CA,18.00,"NT_PYOWVKLI +18554233729
SP+AFF* ANY MEANS NECE
SAN FRANCISCO
CA
+18554233729",SP+AFF* ANY MEANS NESAN FRANCISCO       CA,"650 CALIFORNIA ST
12TH FLOOR","SAN FRANCISCO
CA",94108,UNITED STATES,'320240450586895470',Merchandise & Supplies-General Retail,"clothes,online"
02/13/2024,GglPay CHURRASCARIA RIO DE JANEIRO,71.64,"00024021394 CATERER
GglPay CHURRASCARIA PALACE
RIO DE JANEIRO
CATERERForeign Spend Amount: 354.82 BRAZILIAN REAL Commission Amount:  Currency Exchange Rate: null",GglPay CHURRASCARIA RIO DE JANEIRO,"""RODOLFO DANTAS, 16 - COPACABANA""
RIO DE JANEIRO",,22020040,BRAZIL,'320240450585498906',Restaurant-Restaurant,"copacabana,dinner,pumpkin jelly,restaurant,rio"
02/13/2024,GglPay Luizfernando RIO DE JANEIR,24.23,"00024021313 TRAVEL AGENCY
GglPay Luizfernando
RIO DE JANEIR
TRAVEL AGENCYForeign Spend Amount: 120.00 BRAZILIAN REAL Commission Amount:  Currency Exchange Rate: null",GglPay Luizfernando RIO DE JANEIR,"RUA COSME VELHO 985 LOJA C
RIO DE JANEIRO",,22241090,BRAZIL,'320240440561674109',Travel-Travel Agencies,"cristo redentor,rio,transportation"
02/13/2024,GglPay PAINEIRAS CORRIO DE JANEIRO,5.25,"00024021393 RESTAURANT
GglPay PAINEIRAS CORCOVADO
RIO DE JANEIRO
RESTAURANTForeign Spend Amount: 26.00 BRAZILIAN REAL Commission Amount:  Currency Exchange Rate: null",GglPay PAINEIRAS CORRIO DE JANEIRO,"""DAS PAINEIRAS, 0 - SANTA TERESA""
RIO DE JANEIRO",,22241330,BRAZIL,'320240440561713074',Restaurant-Restaurant,"coffee,cristo redentor,rio"
02/13/2024,GglPay PAINEIRAS CORRIO DE JANEIRO,32.91,"00024021393 AMUSEMENT PARK
GglPay PAINEIRAS CORCOVADO
RIO DE JANEIRO
AMUSEMENT PARKForeign Spend Amount: 163.00 BRAZILIAN REAL Commission Amount:  Currency Exchange Rate: null",GglPay PAINEIRAS CORRIO DE JANEIRO,"""DAS PAINEIRAS,  - SANTA TERESA""
RIO DE JANEIRO",,22241330,BRAZIL,'320240440561676981',Entertainment-Theme Parks,"cristo redentor,rio,souvenir"
02/13/2024,GglPay PAINEIRAS CORRIO DE JANEIRO,52.49,"00024021393 AMUSEMENT PARK
GglPay PAINEIRAS CORCOVADO
RIO DE JANEIRO
AMUSEMENT PARKForeign Spend Amount: 259.97 BRAZILIAN REAL Commission Amount:  Currency Exchange Rate: null",GglPay PAINEIRAS CORRIO DE JANEIRO,"""DAS PAINEIRAS,  - SANTA TERESA""
RIO DE JANEIRO",,22241330,BRAZIL,'320240440561709316',Entertainment-Theme Parks,"cristo redentor,park admission,rio"
02/12/2024,AIRALO              SINGAPORE           SG,26.00,"NT_PY7I8K3F +6583029360
AIRALO
SINGAPORE
SG
+6583029360",AIRALO              SINGAPORE           SG,"79 ANSON ROAD
SINGAPORE",,079906,SINGAPORE,'320240430540614569',Business Services-Internet Services,"esim,movistar,sim"
02/12/2024,GglPay CafeETabacariRIO DE JANEIR,1.61,"00024021212 CIGAR STORE & STAND
GglPay CafeETabacaria
RIO DE JANEIR
CIGAR STORE & STANDForeign Spend Amount: 8.00 BRAZILIAN REAL Commission Amount:  Currency Exchange Rate: null",GglPay CafeETabacariRIO DE JANEIR,"AVENIDA NOSSA SENHORA DE COPACABANA 68
3 A BOX 1
RIO DE JANEIRO",,22050002,BRAZIL,'320240430540874382',Merchandise & Supplies-General Retail,coffee
02/12/2024,GglPay FOTO GRAFICA RIO DE JANEIR,40.34,"PHOTO FINISHING
GglPay FOTO GRAFICA LTDA
RIO DE JANEIR
PHOTO FINISHINGForeign Spend Amount: 200.00 BRAZILIAN REAL Commission Amount:  Currency Exchange Rate: null",GglPay FOTO GRAFICA RIO DE JANEIR,"""VOLUNTARIOS DA PATRIA,45""
3 ANDAR SALA 307
RIO DE JANEIRO",,22270000,BRAZIL,'320240430537147943',Business Services-Printing & Publishing,"flamengo museum,professional photo"
02/12/2024,GglPay GAVEA FLA ARTRIO DE JANEIRO,80.76,"FAMILY CLOTHING
GglPay GAVEA FLA ARTIGOS DO V
RIO DE JANEIRO
FAMILY CLOTHINGForeign Spend Amount: 399.99 BRAZILIAN REAL Commission Amount:  Currency Exchange Rate: null",GglPay GAVEA FLA ARTRIO DE JANEIRO,"AV BORGES DE MEDEIROS 997 LEBLON
RIO DE JANEIRO",,22430041,BRAZIL,'320240440564644634',Merchandise & Supplies-Clothing Stores,"flamengo museum,gift shop"
02/12/2024,GglPay ImplyRental  SANTA CRUZ DO,16.14,"00024021212 VIDEO GAME ARCADE
GglPay ImplyRental
SANTA CRUZ DO
VIDEO GAME ARCADEForeign Spend Amount: 80.00 BRAZILIAN REAL Commission Amount:  Currency Exchange Rate: null",GglPay ImplyRental  SANTA CRUZ DO,"RODOVIA RSC-287 KM 105 - IMPLY TECNOL
OGIA ELETRONICA SA 0 KM 105
SANTA CRUZ DO SUL",,96815911,BRAZIL,'320240430537786452',Entertainment-Other Entertainment,"flamengo museum,tour"
02/12/2024,GglPay O CARANGUEJO RIO DE JANEIRO,201.89,"RESTAURANT
GglPay O CARANGUEJO
RIO DE JANEIRO
RESTAURANTForeign Spend Amount: 1000.00 BRAZILIAN REAL Commission Amount:  Currency Exchange Rate: null",GglPay O CARANGUEJO RIO DE JANEIRO,"R XAVIER DA SILVEIRA 98 COPACABANA LJ
A
RIO DE JANEIRO",,22061010,BRAZIL,'320240440563595180',Restaurant-Restaurant,"moqueca,restaurant,seafood"
02/12/2024,GglPay PAO DE ACUCARR. DE JANEIRO,2.12,"GROCERY STORE
GglPay PAO DE ACUCAR 5073 COP
R. DE JANEIRO
GROCERY STOREForeign Spend Amount: 10.49 BRAZILIAN REAL Commission Amount:  Currency Exchange Rate: null",GglPay PAO DE ACUCARR. DE JANEIRO,"AV N SRA DE COPACABANA 1017 COPACABANA
LOJAS AB E C PARTE
RIO DE JANEIRO",,22060001,BRAZIL,'320240440563491128',Merchandise & Supplies-Groceries,grocery
02/12/2024,GglPay ZONA SUL FL 2RIO DE JANEIR,2.46,"GROCERY STORE
GglPay ZONA SUL FL 26
RIO DE JANEIR
GROCERY STOREForeign Spend Amount: 12.17 BRAZILIAN REAL Commission Amount:  Currency Exchange Rate: null",GglPay ZONA SUL FL 2RIO DE JANEIR,"""AV NOSSA SENHORA DE COPACABANA,591""
/595
RIO DE JANEIRO",,22050002,BRAZIL,'320240430541432605',Merchandise & Supplies-Groceries,grocery
02/11/2024,GglPay CEVICHE      RIO DE JANEIRO,42.16,"RESTAURANT
GglPay CEVICHE
RIO DE JANEIRO
RESTAURANTForeign Spend Amount: 209.00 BRAZILIAN REAL Commission Amount:  Currency Exchange Rate: null",GglPay CEVICHE      RIO DE JANEIRO,"R ARNALDO QUINTELA 66 BOTAFOGO LOJA B
LOJA A
RIO DE JANEIRO",,22280070,BRAZIL,'320240430542809999',Restaurant-Restaurant,"dinner,peruvian,restaurant"
02/11/2024,GglPay CafeETabacariRIO DE JANEIR,2.02,"00024021110 CIGAR STORE & STAND
GglPay CafeETabacaria
RIO DE JANEIR
CIGAR STORE & STANDForeign Spend Amount: 10.00 BRAZILIAN REAL Commission Amount:  Currency Exchange Rate: null",GglPay CafeETabacariRIO DE JANEIR,"AVENIDA NOSSA SENHORA DE COPACABANA 68
3 A BOX 1
RIO DE JANEIRO",,22050002,BRAZIL,'320240420509726819',Merchandise & Supplies-General Retail,coffee
02/11/2024,GglPay HANNA SANTA CRIO DE JANEIR,4.03,"FAST FOOD RESTAURANT
GglPay HANNA SANTA CLARA
RIO DE JANEIR
FAST FOOD RESTAURANTForeign Spend Amount: 20.00 BRAZILIAN REAL Commission Amount:  Currency Exchange Rate: null",GglPay HANNA SANTA CRIO DE JANEIR,"""R SANTA CLARA,118""
LJ A
RIO DE JANEIRO",,22041012,BRAZIL,'320240420513239757',Restaurant-Bar & Café,restaurant
02/11/2024,GglPay PANIFICADORA RIO DE JANEIRO,5.69,"BAKERY
GglPay PANIFICADORA E CONFEIT
RIO DE JANEIRO
BAKERYForeign Spend Amount: 28.20 BRAZILIAN REAL Commission Amount:  Currency Exchange Rate: null",GglPay PANIFICADORA RIO DE JANEIRO,"R  RAIMUNDO CORREIA 9 COPACABANA
RIO DE JANEIRO",,22040041,BRAZIL,'320240430541908655',Merchandise & Supplies-Groceries,"pao da pollo,restaurant"
02/11/2024,GglPay THE BAKERS   RIO DE JANEIRO,9.82,"BAKERY
GglPay THE BAKERS
RIO DE JANEIRO
BAKERYForeign Spend Amount: 48.70 BRAZILIAN REAL Commission Amount:  Currency Exchange Rate: null",GglPay THE BAKERS   RIO DE JANEIRO,"R STA CLARA 86 COPACABANA LJ B
RIO DE JANEIRO",,22041012,BRAZIL,'320240430541917669',Merchandise & Supplies-Groceries,"bakery,restaurant"
02/11/2024,GglPay Zig          SAO PAULO,130.11,"00024021110 WHOLESALE CLUB
GglPay Zig
SAO PAULO
WHOLESALE CLUBForeign Spend Amount: 645.00 BRAZILIAN REAL Commission Amount:  Currency Exchange Rate: null",GglPay Zig          SAO PAULO,"AVENIDA DAS NACOES UNIDAS 12399 73B
SAO PAULO",,04578000,BRAZIL,'320240420513933224',Merchandise & Supplies-Wholesale Stores,"fun card,zig"
02/10/2024,GglPay 2228RAIA     RIO DE JANEIR,16.34,"DRUG STORE/PHARMACY
GglPay 2228RAIA
RIO DE JANEIR
DRUG STORE/PHARMACYForeign Spend Amount: 80.98 BRAZILIAN REAL Commission Amount:  Currency Exchange Rate: null",GglPay 2228RAIA     RIO DE JANEIR,"""R FIGUEIREDO MAGALHAES,304""
B
RIO DE JANEIRO",,22031012,BRAZIL,'320240410494593607',Merchandise & Supplies-Pharmacies,"pharmacy,sunblock"
02/10/2024,GglPay AmauriPereiraRIO DE JANEIR,6.05,"00024021009 MISC FOOD STORE
GglPay AmauriPereira
RIO DE JANEIR
MISC FOOD STOREForeign Spend Amount: 30.00 BRAZILIAN REAL Commission Amount:  Currency Exchange Rate: null",GglPay AmauriPereiraRIO DE JANEIR,"RUA MINISTRO PINTO DA LUZ 1185 FUNDOS
RIO DE JANEIRO",,21010110,BRAZIL,'320240410489483273',Merchandise & Supplies-Groceries,?
02/10/2024,GglPay CAFE E TABACARIO DE JANEIRO      BR,1.61,"CIGAR STORE & STAND
GglPay CAFE E TABACARIA LOLLO
RIO DE JANEIRO
BR
CIGAR STORE & STANDForeign Spend Amount: 8.00 BRAZILIAN REAL Commission Amount:  Currency Exchange Rate: null",GglPay CAFE E TABACARIO DE JANEIRO      BR,"""AV NOSSA SENHORA DE COPACABANA, 683""
Rio de Janeiro",,22050002,BRAZIL,'320240420517002985',Merchandise & Supplies-General Retail,coffee
02/10/2024,GglPay CafeETabacariRIO DE JANEIR,1.61,"00024021009 CIGAR STORE & STAND
GglPay CafeETabacaria
RIO DE JANEIR
CIGAR STORE & STANDForeign Spend Amount: 8.00 BRAZILIAN REAL Commission Amount:  Currency Exchange Rate: null",GglPay CafeETabacariRIO DE JANEIR,"AVENIDA NOSSA SENHORA DE COPACABANA 68
3 A BOX 1
RIO DE JANEIRO",,22050002,BRAZIL,'320240410490506955',Merchandise & Supplies-General Retail,coffee
02/10/2024,GglPay DouglasDeSouzRIO DE JANEIR,64.55,"00024021008 PROFESSIONAL SERVICE
GglPay DouglasDeSouza
RIO DE JANEIR
PROFESSIONAL SERVICEForeign Spend Amount: 320.00 BRAZILIAN REAL Commission Amount:  Currency Exchange Rate: null",GglPay DouglasDeSouzRIO DE JANEIR,"RUA ITAJUBA 29 CS A 4 FD SB
RIO DE JANEIRO",,21060320,BRAZIL,'320240410490371684',Business Services-Professional Services,rio
02/10/2024,GglPay LANCHONETE LARIO DE JANEIRO,8.57,"FAST FOOD RESTAURANT
GglPay LANCHONETE LA PERLA
RIO DE JANEIRO
FAST FOOD RESTAURANTForeign Spend Amount: 42.50 BRAZILIAN REAL Commission Amount:  Currency Exchange Rate: null",GglPay LANCHONETE LARIO DE JANEIRO,"R BARATA RIBEIRO 00467 COPACABANA A
RIO DE JANEIRO",,22051002,BRAZIL,'320240420516046085',Restaurant-Bar & Café,restaurant
02/10/2024,GglPay MERCADO EXTRAR. DE JANEIRO,11.59,"GROCERY STORE
GglPay MERCADO EXTRA 5290 COP
R. DE JANEIRO
GROCERY STOREForeign Spend Amount: 57.46 BRAZILIAN REAL Commission Amount:  Currency Exchange Rate: null",GglPay MERCADO EXTRAR. DE JANEIRO,"RUA SIQUEIRA CAMPOS 143 COPACABANA LJ
48 49
RIO DE JANEIRO",,22031071,BRAZIL,'320240420516857674',Merchandise & Supplies-Groceries,grocery
02/10/2024,Robatarestaurante   RIO DE JANEIR,80.99,"00024021009 RESTAURANT
Robatarestaurante
RIO DE JANEIR
RESTAURANTForeign Spend Amount: 401.50 BRAZILIAN REAL Commission Amount:  Currency Exchange Rate: null",Robatarestaurante   RIO DE JANEIR,"RUA FARANI 20 CASA
RIO DE JANEIRO",,22231020,BRAZIL,'320240420515243740',Restaurant-Restaurant,restaurant
02/09/2024,GglPay JAPPA DA QUITRIO DE JANEIRO,89.22,"00024020988 RESTAURANT
GglPay JAPPA DA QUITANDA IPAN
RIO DE JANEIRO
RESTAURANTForeign Spend Amount: 442.29 BRAZILIAN REAL Commission Amount:  Currency Exchange Rate: null",GglPay JAPPA DA QUITRIO DE JANEIRO,"""BARAO DA TORRE, 422 - IPANEMA""
RIO DE JANEIRO",,22411002,BRAZIL,'320240410494024980',Restaurant-Restaurant,restaurant
02/09/2024,GglPay MAIS1 CAFE RIRIO DE JANEIRO      BR,6.56,"FAST FOOD RESTAURANT
GglPay MAIS1 CAFE RIO DE JANE
RIO DE JANEIRO
BR
FAST FOOD RESTAURANTForeign Spend Amount: 32.50 BRAZILIAN REAL Commission Amount:  Currency Exchange Rate: null",GglPay MAIS1 CAFE RIRIO DE JANEIRO      BR,"""BARATA RIBEIRO, 611""
LOJA D
Rio de Janeiro",,22051001,BRAZIL,'320240410495385121',Restaurant-Bar & Café,coffee
02/09/2024,GglPay XODOZIN      RIO DE JANEIRO      BR,4.03,"CAR WASH
GglPay XODOZIN
RIO DE JANEIRO
BR
CAR WASHForeign Spend Amount: 20.00 BRAZILIAN REAL Commission Amount:  Currency Exchange Rate: null",GglPay XODOZIN      RIO DE JANEIRO      BR,"""Rua Leopoldo Miguez, 29""
cobertura 2
Rio de Janeiro",,22060020,BRAZIL,'320240410496609593',Business Services-Other Services,"copacabana,lunch,restaurant,rio"
02/08/2024,ELECTRONIC PAYMENT RECEIVED-THANK,-12743.00,ELECTRONIC PAYMENT RECEIVED-THANK,ELECTRONIC PAYMENT RECEIVED-THANK,,,,,'320240390454412112',,
02/08/2024,GglPay BISCUIT      RIO DE JANEIRO      BR,5.74,"FAST FOOD RESTAURANT
GglPay BISCUIT
RIO DE JANEIRO
BR
FAST FOOD RESTAURANTForeign Spend Amount: 28.50 BRAZILIAN REAL Commission Amount:  Currency Exchange Rate: null",GglPay BISCUIT      RIO DE JANEIRO      BR,"""R. Carvalho De Mendonca, 35""
Rio de Janeiro",,22020040,BRAZIL,'320240400470153012',Restaurant-Bar & Café,"restaurant,rio"
02/08/2024,GglPay Finns        RIO DE JANEIR,45.55,"00024020805 FAST FOOD RESTAURANT
GglPay Finns
RIO DE JANEIR
FAST FOOD RESTAURANTForeign Spend Amount: 226.27 BRAZILIAN REAL Commission Amount:  Currency Exchange Rate: null",GglPay Finns        RIO DE JANEIR,"AVENIDA ATLANTICA 0 QUIOSQUE 13 FINNS
EM FRENTE AO N 2064
RIO DE JANEIRO",,22070000,BRAZIL,'320240400468510853',Restaurant-Bar & Café,"copacabana,dinner,restaurant"
02/08/2024,GglPay MarDeCopa    RIO DE JANEIR,8.44,"00024020805 BAR/NIGHTCLUB
GglPay MarDeCopa
RIO DE JANEIR
BAR/NIGHTCLUBForeign Spend Amount: 41.80 BRAZILIAN REAL Commission Amount:  Currency Exchange Rate: null",GglPay MarDeCopa    RIO DE JANEIR,"AVENIDA ATLANTICA 0 QUISQUE 21 E 22 MA
R DE COPA
RIO DE JANEIRO",,22021000,BRAZIL,'320240390456764674',Restaurant-Bar & Café,"copacabana,lunch,restaurant,rio"
02/08/2024,GglPay PAO DE ACUCARR. DE JANEIRO,28.67,"GROCERY STORE
GglPay PAO DE ACUCAR 1412 SIQ
R. DE JANEIRO
GROCERY STOREForeign Spend Amount: 142.39 BRAZILIAN REAL Commission Amount:  Currency Exchange Rate: null",GglPay PAO DE ACUCARR. DE JANEIRO,"RUA SIQUEIRA CAMPOS 97 COPACABANA
RIO DE JANEIRO",,22031071,BRAZIL,'320240400470210697',Merchandise & Supplies-Groceries,"copacabana,grocery,rio"
02/08/2024,GglPay TIENDA SALAR SANTIAGO,6.90,"GROCERY STORE
GglPay TIENDA SALAR DEL SOL
SANTIAGO
GROCERY STOREForeign Spend Amount: 6500.00 CHILEAN PESO Commission Amount:  Currency Exchange Rate: null",GglPay TIENDA SALAR SANTIAGO,"AEROPUERTO AMB JEAN MERMOZ 2150 LOCAL
SANTIAGO",,,CHILE,'320240390444955591',Merchandise & Supplies-Groceries,"airport,chile,monster,peanuts,santiago,SCL"
02/08/2024,QuiosqueSanta       RIO DE JANEIR,13.77,"00024020805 BAR/NIGHTCLUB
QuiosqueSanta
RIO DE JANEIR
BAR/NIGHTCLUBForeign Spend Amount: 68.21 BRAZILIAN REAL Commission Amount:  Currency Exchange Rate: null",QuiosqueSanta       RIO DE JANEIR,"AVENIDA ATLANTICA 0 QC25 QC26 QUIOSQUE
RIO DE JANEIRO",,22010000,BRAZIL,'320240390438617238',Restaurant-Bar & Café,"copacabana,lunch,restaurant,rio"
02/07/2024,GglPay KEY FOOD     BROOKLYN            NY,8.02,"006003000607184539277
GROCERY STORES
GglPay KEY FOOD
BROOKLYN
NY
GROCERY STORES
7184539277",GglPay KEY FOOD     BROOKLYN            NY,200 MALCOLM X BLVD,"BROOKLYN
NY",11221,UNITED STATES,'320240390445149190',Merchandise & Supplies-Groceries,grocery
02/07/2024,GglPay MALCOLM X CONBROOKLYN            NY,10.40,"85183534039917-378-8990
GglPay MALCOLM X CONVENIENCE
BROOKLYN
NY
917-378-8990",GglPay MALCOLM X CONBROOKLYN            NY,199 MALCOLM X BLVD,"BROOKLYN
NY",11221,UNITED STATES,'320240390454913537',Merchandise & Supplies-Groceries,head shop
02/07/2024,GglPay NYCT PAYGO   NEW YORK            NY,2.90,"00717987595 LOCAL TRANSPORTATION
GglPay NYCT PAYGO
NEW YORK
NY
LOCAL TRANSPORTATION",GglPay NYCT PAYGO   NEW YORK            NY,"ATTN NYCT CONTROLLER
2 BROADWAY 15TH FLOOR","NEW YORK
NY",10004,UNITED STATES,'320240390445693904',Transportation-Rail Services,ny subway
02/07/2024,GglPay NYCT PAYGO   NEW YORK            NY,8.25,"00718015334 LOCAL TRANSPORTATION
GglPay NYCT PAYGO
NEW YORK
NY
LOCAL TRANSPORTATION",GglPay NYCT PAYGO   NEW YORK            NY,"ATTN NYCT CONTROLLER
2 BROADWAY 15TH FLOOR","NEW YORK
NY",10004,UNITED STATES,'320240390445909734',Transportation-Rail Services,ny subway
02/07/2024,SHINEPAY LAUNDRY APPHAYWARD             CA,15.35,"NT_PWEHIVZ0 +15106169693
SHINEPAY LAUNDRY APP
HAYWARD
CA
+15106169693",SHINEPAY LAUNDRY APPHAYWARD             CA,"20511 SKYWEST DR
HANGER 3J","HAYWARD
CA",94541,UNITED STATES,'320240380418687718',Merchandise & Supplies-Computer Supplies,laundry
02/06/2024,GglPay KEY FOOD     BROOKLYN            NY,11.82,"006003000447184539277
GROCERY STORES
GglPay KEY FOOD
BROOKLYN
NY
GROCERY STORES
7184539277",GglPay KEY FOOD     BROOKLYN            NY,200 MALCOLM X BLVD,"BROOKLYN
NY",11221,UNITED STATES,'320240380422066838',Merchandise & Supplies-Groceries,grocery
02/06/2024,GglPay NYCT PAYGO   NEW YORK            NY,2.90,"00717876318 LOCAL TRANSPORTATION
GglPay NYCT PAYGO
NEW YORK
NY
LOCAL TRANSPORTATION",GglPay NYCT PAYGO   NEW YORK            NY,"ATTN NYCT CONTROLLER
2 BROADWAY 15TH FLOOR","NEW YORK
NY",10004,UNITED STATES,'320240380421289414',Transportation-Rail Services,ny subway
02/06/2024,LUANNE WILD GINGER ABROOKLYN            NY,44.30,"85347014038718-638-8868
LUANNE WILD GINGER ALL
BROOKLYN
NY
718-638-8868",LUANNE WILD GINGER ABROOKLYN            NY,235 DEKALB AVE,"BROOKLYN
NY",11205,UNITED STATES,'320240380431092992',Restaurant-Restaurant,restaurant
02/05/2024,GglPay KEY FOOD     BROOKLYN            NY,8.89,"00600400020 7184539277
GglPay KEY FOOD
BROOKLYN
NY
Description : GROCERY STORES Price : 0.0889
7184539277",GglPay KEY FOOD     BROOKLYN            NY,200 MALCOLM X BLVD,"BROOKLYN
NY",11221,UNITED STATES,'320240370399653056',Merchandise & Supplies-Groceries,grocery
02/05/2024,GglPay NYCT PAYGO   NEW YORK            NY,2.90,"00717657286 LOCAL TRANSPORTATION
GglPay NYCT PAYGO
NEW YORK
NY
LOCAL TRANSPORTATION",GglPay NYCT PAYGO   NEW YORK            NY,"ATTN NYCT CONTROLLER
2 BROADWAY 15TH FLOOR","NEW YORK
NY",10004,UNITED STATES,'320240370400267275',Transportation-Rail Services,ny subway
02/05/2024,INTUIT ORDER CHANNELSAN DIEGO,-10.00,"Amex Offer Credit
INTUIT ORDER CHANNEL
SAN DIEGO
Amex Offer Credit",INTUIT ORDER CHANNELSAN DIEGO,7535 TORREY SANTA FE RD,"SAN DIEGO
CA",92129-5704,UNITED STATES,'320240370397328757',Merchandise & Supplies-Computer Supplies,
02/03/2024,GglPay NYCT PAYGO   NEW YORK            NY,2.90,"00717301151 LOCAL TRANSPORTATION
GglPay NYCT PAYGO
NEW YORK
NY
LOCAL TRANSPORTATION",GglPay NYCT PAYGO   NEW YORK            NY,"ATTN NYCT CONTROLLER
2 BROADWAY 15TH FLOOR","NEW YORK
NY",10004,UNITED STATES,'320240350354270854',Transportation-Rail Services,ny subway
